2013-10-07 10:11:00,183 WARN  [ActiveMQ NIO Worker 29] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:52085 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 10:11:08,301 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-07 10:11:08,457 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-61742-1381133468315-0:1) is starting
2013-10-07 10:11:08,465 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-07 10:11:08,468 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-07 10:11:08,470 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-61742-1381133468315-0:1) started
2013-10-07 10:11:08,470 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-07 10:12:19,699 WARN  [ActiveMQ NIO Worker 6] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:61755 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 10:26:20,098 INFO  [main] (BrokerService.java:594) Using Persistence Adapter: MemoryPersistenceAdapter
2013-10-07 10:26:20,252 INFO  [main] (BrokerService.java:633) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-52362-1381134380114-0:1) is starting
2013-10-07 10:26:20,259 INFO  [main] (TransportServerThreadSupport.java:72) Listening for connections at: nio://127.0.0.1:34455
2013-10-07 10:26:20,261 INFO  [main] (TransportConnector.java:254) Connector nio://127.0.0.1:34455 Started
2013-10-07 10:26:20,264 INFO  [main] (BrokerService.java:657) Apache ActiveMQ 5.8.0 (localhost, ID:WN7X64-2609VM1-52362-1381134380114-0:1) started
2013-10-07 10:26:20,264 INFO  [main] (BrokerService.java:659) For help or more information please see: http://activemq.apache.org
2013-10-07 10:32:37,592 WARN  [ActiveMQ NIO Worker 8] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:55491 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
2013-10-07 10:37:22,602 WARN  [ActiveMQ NIO Worker 18] (TransportConnection.java:238) Transport Connection to: tcp://127.0.0.1:59965 failed: java.io.IOException: An existing connection was forcibly closed by the remote host
